ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"95.216.201.74","elite","AS24940","FI","Hetzner Online GmbH","43","HETZNER-DC","1080","socks5","5193","4","2024-05-31T13:35:03.692Z","100","7106","7108"
"41.60.233.97","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","142","Liquid Telecommunications Operations Limited","5678","socks4","1796","1","2024-05-31T13:35:03.605Z","86","6200","7233"
"188.94.227.161","elite","AS196798","RU","Mifril+ LLC","80","NLT Sub8","8080","socks4","996","1","2024-05-31T13:35:03.607Z","100","392","393"
"177.125.165.170","elite","AS262346","BR","FP Telecomunicacoes Ltda","297","FP Telecomunicacoes Ltda","4145","socks4","2610","2","2024-05-31T13:35:03.690Z","68","4852","7150"
"177.126.95.225","elite","AS262352","BR","Nova Telecom Ltda","284","Nova Telecom Ltda","4145","socks4","5194","2","2024-05-31T13:35:03.597Z","76","5485","7194"
"82.115.18.179","elite","AS212552","DE","BitCommand LLC","19","BitCommand LLC","1080","socks5","75","1","2024-05-31T13:35:03.600Z","93","6654","7129"
"103.208.203.1","elite","AS133275","IN","Gigantic","190","N/A","5678","socks4","4800","1","2024-05-31T13:35:03.602Z","98","7018","7155"
"104.19.235.10","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","66","1","2024-05-31T13:35:02.503Z","100","7139","7139"
"162.247.243.29","elite","AS54113","US","Fastly, Inc.","2","New Relic","80","socks4","72","2","2024-05-31T13:35:02.998Z","98","7088","7198"
"165.225.216.80","elite","AS22616","US","ZSCALER, INC.","112","Zscaler, Inc","10605","socks4","73","1","2024-05-31T13:35:02.700Z","90","6443","7142"
"75.119.205.50","elite","AS26347","US","New Dream Network, LLC","160","New Dream Network, LLC","51833","socks5","2003","1","2024-05-31T13:35:02.695Z","63","4425","7053"
"203.176.141.166","elite","AS38235","KH","Angkor Data Communication","360","Mekongnet","4145","socks4","4698","1","2024-05-31T13:35:02.602Z","99","7090","7174"
"184.174.75.86","elite","AS21769","GB","Colocation America Corporation","194","North Coast Hosting","51724","socks5","71","1","2024-05-31T13:35:02.995Z","99","7132","7176"
"115.79.34.201","elite","AS7552","VN","VIETELftth","200","N/A","5678","socks4","4739","1","2024-05-31T13:35:02.988Z","95","6827","7196"
"45.4.52.6","elite","AS266040","BR","Eber Dejani Pereira De Albernaz CIA Ltda","203","Eber Dejani Pereira De Albernaz CIA Ltda","8080","socks4","1183","1","2024-05-31T13:35:02.806Z","100","255","255"
"105.29.93.193","elite","N/A","ZA","SEACOM Limited Networks","174","N/A","4145","socks4","2802","1","2024-05-31T13:35:02.797Z","99","358","361"
"181.236.221.138","elite","AS3816","CO","Colombia Telecomunicaciones S.a. ESP","183","Colombia Telecomunicaciones S.a. ESP","4145","socks4","609","1","2024-05-31T13:35:02.889Z","100","447","447"
"45.196.151.236","elite","AS7018","US","AT&T Services, Inc.","82","AQUA Networks Limited","5432","socks4","72","1","2024-05-31T13:35:02.697Z","98","6968","7076"
"177.107.32.149","elite","AS28329","BR","Megatelecom Telecomunicacoes Ltda","209","Macedo & Macedo Internet Ltda Me","4153","socks4","78","1","2024-05-31T13:35:02.898Z","81","5825","7203"
"173.199.178.171","elite","AS32244","US","Liquid Web, L.L.C","192","Liquid Web, L.L.C","2078","socks4","2497","1","2024-05-31T13:35:02.706Z","88","306","349"
"184.82.76.136","elite","AS133481","TH","AIS-Fibre","268","N/A","8080","socks4","4711","1","2024-05-31T13:35:02.699Z","64","4586","7146"
"89.45.83.82","elite","AS205275","RO","Romarg SRL","43","Romarg SRL","8128","socks4","911","1","2024-05-31T13:35:02.896Z","100","141","141"
"196.196.160.211","elite","AS57858","IT","Angelnet Limited","29","Fiber Grid","80","socks4","3486","1","2024-05-31T13:35:02.704Z","98","7068","7209"
"181.64.186.221","elite","AS6147","PE","Telefonica del Peru","291","PE-TDPERX4-LACNIC","5678","socks4","5010","1","2024-05-31T13:35:02.893Z","82","5839","7132"
"135.148.10.161","elite","AS16276","US","OVH US LLC","80","Hosting Now, Net Ltda","15626","socks4","265","2","2024-05-31T13:34:51.105Z","100","476","476"
"79.127.127.7","elite","AS43754","IR","Asiatech Data Transmission company","108","Asiatech Data Transmission company","1369","socks4","791","2","2024-05-31T13:34:51.106Z","95","6859","7206"
"166.0.235.98","elite","AS395111","US","Ace Data Centers","104","Ipxo LLC","40184","socks5","4049","1","2024-05-31T13:34:51.099Z","100","350","350"
"185.123.235.92","elite","AS49924","IT","ECROM-MAIN","63","N/A","5678","socks4","66","1","2024-05-31T13:34:51.101Z","81","5756","7136"
"38.127.172.42","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","700","1","2024-05-31T13:34:51.102Z","100","7080","7088"
"181.215.47.60","elite","AS397423","US","Tier.Net Technologies LLC","112","Ipxo","3389","socks4","3388","2","2024-05-31T13:34:51.095Z","75","5367","7118"
"208.91.197.18","elite","AS40034","VG","Confluence Networks Inc","77","Confluence Networks Inc","40034","socks5","75","1","2024-05-31T13:34:51.006Z","99","6999","7042"
"179.189.196.52","elite","AS52626","BR","NovaNet Provedor e Web Ltda","260","NovaNet Provedor e Web Ltda","5678","socks4","4804","1","2024-05-31T13:34:51.093Z","55","3985","7190"
"194.146.110.228","elite","AS29496","UA","Link-Service Ltd.","38","Link-Service Ltd.","1080","socks4","2791","1","2024-05-31T13:34:49.794Z","100","7029","7048"
"210.4.194.196","elite","AS13445","SG","Cisco Webex LLC","282","Webex Communications Inc","80","socks5","167","86","2024-05-31T13:34:49.791Z","99","7028","7075"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","52","N/A","9050","socks4","160","1","2024-05-31T13:34:49.802Z","100","7182","7185"
"138.59.227.248","transparent","AS270052","PY","Aranda Cardozo Lider Ramon","297","Startelecom S.A","999","http","528","9890","2024-05-31T13:34:24.507Z","100","29","29"
"165.90.83.194","elite","N/A","MZ","Moztel LDA","181","N/A","33333","socks4","868","1","2024-05-31T13:34:24.492Z","41","168","408"
"186.251.255.45","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","292","Seanet Telecom Carazinho Eireli","31337","socks4","72","1","2024-05-31T13:34:24.489Z","99","7111","7147"
"103.12.246.197","elite","AS134941","IN","Instant Cable Network PVT LTD","163","Instant Cable Network PVT LTD","4145","socks4","1100","1","2024-05-31T13:34:24.589Z","99","339","341"
"181.78.13.94","elite","AS52468","CO","IFX Networks Argentina S.R.L","136","UFINET COLOMBIA, S. A","5678","socks4","68","1","2024-05-31T13:34:24.893Z","99","7148","7237"
"116.58.254.201","elite","AS131090","TH","CAT-BB","294","N/A","8080","socks5","3203","1","2024-05-31T13:34:24.407Z","73","5231","7150"
"119.42.71.103","elite","AS131090","TH","CAT-BB","292","N/A","4145","socks4","447","1","2024-05-31T13:34:24.592Z","75","5347","7109"
"85.214.107.177","elite","AS6724","DE","Strato AG","26","Strato AG","80","http","968","10797","2024-05-31T13:34:24.498Z","100","27","27"
"175.22.92.192","elite","AS4837","CN","China Unicom Jilin Province Network","197","N/A","8060","socks4","894","1","2024-05-31T13:34:09.197Z","86","317","370"
"89.237.35.129","elite","AS20485","RU","multi-origin SUTTK","71","N/A","51549","socks4","72","1","2024-05-31T13:34:09.206Z","99","7045","7085"
